Name,Genre,ESRB_Rating,Platform,Critic_Score
Wii Sports,Sports,E,Wii,7.7
Mario Kart Wii,Racing,E,Wii,8.2
Wii Sports Resort,Sports,E,Wii,8
Pokemon Red / Green / Blue Version,Role-Playing,E,GB,9.4
New Super Mario Bros.,Platform,E,DS,9.1
Tetris,Puzzle,E,GB,7.4
New Super Mario Bros. Wii,Platform,E,Wii,8.6
Wii Play,Misc,E,Wii,5.9
Kinect Adventures!,Party,E,X360,6.7
Nintendogs,Simulation,E,DS,8.4
Mario Kart DS,Racing,E,DS,9.1
Pokemon Gold / Silver Version,Role-Playing,E,GB,9.2
Wii Fit,Sports,E,Wii,7.9
Wii Fit Plus,Sports,E,Wii,8
Super Mario World,Platform,E,SNES,8.5
Grand Theft Auto V,Action,M,PS3,9.4
Grand Theft Auto V,Action,M,PS4,9.7
Brain Age: Train Your Brain in Minutes a Day,Misc,E,DS,8.1
Super Mario Land,Platform,E,GB,8.7
Mario Kart 7,Racing,E,3DS,8.2
Pokemon Diamond / Pearl Version,Role-Playing,E,DS,8.6
Grand Theft Auto: San Andreas,Action,M,PS2,9.5
Super Mario Bros. 3,Platform,E,NES,3.3
Pokemon X/Y,Role-Playing,E,3DS,8.9
Pokemon Ruby / Sapphire Version,Role-Playing,E,GBA,8.8
Grand Theft Auto: Vice City,Action,M,PS2,9.6
Pokemon Sun/Moon,Role-Playing,E,3DS,9
Grand Theft Auto V,Action,M,X360,6.8
Pokemon Black / White Version,Role-Playing,E,DS,8.6
Call of Duty: Black Ops 3,Shooter,M,PS4,4.6
Mario Kart 8 Deluxe,Racing,E,NS,9.3
Counter-Strike: Source,Shooter,M,PC,9.3
Gran Turismo 3: A-Spec,Racing,E,PS2,9.3
Brain Age 2: More Training in Minutes a Day,Misc,E,DS,8
Call of Duty: Modern Warfare 3,Shooter,M,X360,8.7
Call of Duty: Black Ops,Shooter,M,X360,8.8
Pokemon Yellow: Special Pikachu Edition,Role-Playing,E,GB,8.7
Halo 3,Shooter,M,X360,9.6
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,E,3DS,1.5
Red Dead Redemption 2,Action-Adventure,M,PS4,9.8
Call of Duty: Black Ops II,Shooter,M,X360,1.7
Call of Duty: Black Ops II,Shooter,M,PS3,5.4
Super Mario Odyssey,Platform,E10,NS,9.9
Call of Duty: Modern Warfare 2,Shooter,M,X360,9.5
Call of Duty: WWII,Shooter,M,PS4,8
Call of Duty: Modern Warfare 3,Shooter,M,PS3,8.8
Super Smash Bros. Brawl,Fighting,T,Wii,9.2
Grand Theft Auto III,Action,M,PS2,9.5
New Super Mario Bros. 2,Platform,E,3DS,7.5
Portal 2,Shooter,E10,PC,9.7
Minecraft,Misc,E10,X360,3.1
Super Mario Galaxy,Platform,E,Wii,9.7
Pokemon Heart Gold / Soul Silver Version,Role-Playing,E,DS,8.6
Call of Duty: Black Ops,Shooter,M,PS3,8.7
Grand Theft Auto V,Action,M,PC,8.1
Super Mario 3D Land,Platform,E,3DS,8.9
Animal Crossing: New Leaf,Simulation,E,3DS,8.6
Super Smash Bros. Ultimate,Fighting,E10,NS,9.4
Diablo III,Role-Playing,M,PC,9
Pokemon FireRed / LeafGreen Version,Role-Playing,E,GBA,8.3
Gran Turismo 5,Racing,E,PS3,8.3
Super Mario 64,Platform,E,N64,9.7
FIFA 18,Sports,E,PS4,8.3
Gran Turismo 4,Racing,E,PS2,8.7
Animal Crossing: Wild World,Simulation,E,DS,8.5
The Legend of Zelda: Breath of the Wild,Action-Adventure,E10,NS,9.9
Super Mario Land 2: 6 Golden Coins,Platform,E,GB,9
Grand Theft Auto IV,Action,M,X360,10
Super Mario 64 DS,Platform,E,DS,8.6
Terraria,Platform,T,PC,8.8
FIFA 17,Sports,E,PS4,8.9
Gran Turismo,Racing,E,PS,9.5
Call of Duty: Modern Warfare 2,Shooter,M,PS3,9.5
Grand Theft Auto IV,Action,M,PS3,10
Super Mario All-Stars,Platform,E,SNES,8.4
Call of Duty: Ghosts,Shooter,M,X360,6.9
Just Dance 3,Misc,E10,Wii,7.5
